BUILDING,NODE,TYPE,FLOOR,EXIT Floors,ON/OFF (Accessible),IF DOOR: RAMP?,IF DOOR: BUTTON?,IF EXIT: WHERE?,NOTES
ENG,ENG_D1,DOOR,1,,NO,NO,NO,FRONT,D1&2 are next to each other and can count as an accessible entrance
ENG,ENG_D2,DOOR,1,,YES,NO,YES,FRONT,
ENG,ENG_E1,ELEVATOR,1234,123,,,,,
ENG,ENG_E2,ELEVATOR,1234,123,,,,,
ENG,ENG_D3,DOOR,2,,YES,NO,YES,"RIGHT, TO FINE ARTS",
ENG,ENG_D4,DOOR,2,,NO,NO,NO,LEFT TO ITE,
ENG,ENG_D5,DOOR,3,,NO,YES,NO,BACK,D5&6 are next to each other and can count as 1 accessible entrance
ENG,ENG_D6,DOOR,3,,YES,YES,YES,BACK,
FINE ARTS,FINEARTS_D1,DOOR,1,NO,NO,NO,NO,FRONT,D1&2 are next to each other and can count as an accessible entrance
FINE ARTS,FINEARTS_D2,DOOR,1,,YES,NO,YES,FRONT,
FINE ARTS,FINEARTS_D3,DOOR,1,,YES,NO,YES,FRONT,D3&4 are next to each other and can count as a single accessible entrance
FINE ARTS,FINEARTS_D4,DOOR,1,,NO,NO,NO,FRONT,
FINE ARTS,FINEARTS_D5,DOOR,2,,NO,YES,NO,RIGHT TO ROAD,
FINE ARTS,FINEARTS_E1,ELEVATOR,B123456,123,,,,,
FINE ARTS,FINEARTS_D6,DOOR,2,,YES,NO,YES,LEFT TO ENG,D6&7&8 are right next to each other and can count as an accessible entrance BUT only from ENG
FINE ARTS,FINEARTS_D7,DOOR,2,,NO,NO,NO,LEFT TO ENG,
FINE ARTS,FINEARTS_D8,DOOR,2,,NO,NO,NO,LEFT TO ENG,
FINE ARTS,FINEARTS_D9,DOOR,3,,NO,NO,NO,BACK,
FINE ARTS,FINEARTS_D10,DOOR,3,,YES,NO,YES,BACK,
FINE ARTS,FINEARTS_D11,DOOR,3,,NO,NO,NO,BACK,
